0,model,Category,RMSD,RMSD_rank,solution,specific_nucleotide_atom_rmsd,C1'_rmsd,completed_model,Sum of absolute delta
Chen,3,Human,31.762,45,0,5.534,3.698,PZ22_Chen_3,33.2
Das,7,Human,21.158,20,0,4.703,3.581,PZ22_Das_7,38.4
Adamiak,2,Human,19.653,16,0,5.262,5.066,PZ22_Adamiak_2,38.9
Das,3,Human,23.908,24,1,6.018,6.656,PZ22_Das_3,40.2
Das,2,Human,11.732,3,1,4.806,5.655,PZ22_Das_2,41.3
Das,1,Human,11.48,2,0,7.028,5.995,PZ22_Das_1,41.9
Chen,5,Human,21.39,21,0,5.887,5.537,PZ22_Chen_5,45.1
Das,5,Human,10.663,1,1,4.366,4.93,PZ22_Das_5,46.6
Das,4,Human,25.395,32,0,7.466,7.296,PZ22_Das_4,47.5
Das,10,Human,19.334,15,1,4.305,3.537,PZ22_Das_10,48.6
Chen,1,Human,26.82,35,1,5.547,5.684,PZ22_Chen_1,48.9
RNAComposer,1,Server,18.264,11,0,6.431,5.528,PZ22_RNAComposer_1,49.2
RNAComposer,2,Server,19.172,14,0,6.419,5.63,PZ22_RNAComposer_2,49.5
Adamiak,4,Human,18.394,12,0,6.714,5.764,PZ22_Adamiak_4,50.4
RNAComposer,5,Server,28.232,41,1,4.693,4.732,PZ22_RNAComposer_5,58.3
RNAComposer,4,Server,26.695,34,0,7.286,6.239,PZ22_RNAComposer_4,59
Adamiak,3,Human,27.938,40,0,7.152,5.572,PZ22_Adamiak_3,60
Chen,4,Human,25.355,31,1,6.104,6.98,PZ22_Chen_4,60.3
RNAComposer,3,Server,19.912,17,1,6.438,5.466,PZ22_RNAComposer_3,62.6
Das,6,Human,18.23,10,1,6.569,6.15,PZ22_Das_6,72.9
Das,8,Human,13.96,5,1,5.753,5.643,PZ22_Das_8,73.3
Adamiak,1,Human,28.834,42,1,6.431,5.762,PZ22_Adamiak_1,73.3
Xiao,4,Human,23.219,22,1,4.93,4.462,PZ22_Xiao_4,73.4
Xiao,1,Human,13.678,4,1,6.887,8.268,PZ22_Xiao_1,78.4
Chen,2,Human,26.154,33,0,9.409,7.887,PZ22_Chen_2,78.9
Xiao,5,Human,18.826,13,0,7.715,5.784,PZ22_Xiao_5,82.6
Das,9,Human,17.484,8,1,7.659,9.477,PZ22_Das_9,85.4
Xiao,2,Human,17.173,7,0,11.844,11.805,PZ22_Xiao_2,91.3
Dokholyan,3,Human,24.478,26,0,12.279,10.395,PZ22_Dokholyan_3,99.5
Adamiak,5,Human,15.558,6,0,12.628,10.758,PZ22_Adamiak_5,107.1
Bujnicki,1,Human,20.929,19,0,14.159,13.17,PZ22_Bujnicki_1,115.9
SimRNA,5,Server,23.906,23,0,14.981,13.211,PZ22_SimRNA_5,125.8
Dokholyan,4,Human,24.487,27,1,11.961,12.471,PZ22_Dokholyan_4,128.5
Bujnicki,2,Human,17.959,9,0,16.154,14.746,PZ22_Bujnicki_2,134.2
Xiao,3,Human,24.468,25,0,15.495,14.454,PZ22_Xiao_3,140.2
Dokholyan,1,Human,28.986,43,1,14.206,12.808,PZ22_Dokholyan_1,141.6
Dokholyan,2,Human,29.496,44,1,15.536,14.24,PZ22_Dokholyan_2,152.8
Dokholyan,5,Human,19.994,18,1,13.993,11.942,PZ22_Dokholyan_5,154.5
Bujnicki,5,Human,24.87,29,1,16.988,15.838,PZ22_Bujnicki_5,168.6
SimRNA,3,Server,24.862,28,1,16.976,15.783,PZ22_SimRNA_3,169.2
Bujnicki,3,Human,27.393,39,1,17.263,17.129,PZ22_Bujnicki_3,172.8
SimRNA,1,Server,27.385,38,1,17.321,17.102,PZ22_SimRNA_1,173.1
SimRNA,4,Server,25.304,30,1,18.616,16.778,PZ22_SimRNA_4,181.3
SimRNA,2,Server,26.95,37,1,19.385,17.335,PZ22_SimRNA_2,188.8
Bujnicki,4,Human,26.946,36,1,19.452,17.33,PZ22_Bujnicki_4,190.4