Groups,model,RMSD,RMSD_rank,DI,DI_rank,INF_all,INF_all_rank,INF_wc,INF_wc_rank,INF_nwc,INF_nwc_rank,INF_stack,INF_stack_rank,clash,clash_rank,MCQ,MCQ_rank,TM,TM_rank,GDT,GDT_rank,p-value,solution,Casp,casp_,complete_model_name,group_name,casp_newname,new_name,lddt,Categories,lddt_rank
TS232,1,4.515,1,5.544,1,0.814,4,0.866,4,-1.0,1,0.804,4,9.5,62,18.325,4,0.564,1,0.0,1,0.0,0,CR1107,R1107,R1107TS232_1,Xiong,R1107_TS232_1,R1107_TS232_1,0.7241848518659062,Human,2
TS232,2,4.857,2,5.946,2,0.817,3,0.885,2,-1.0,1,0.8,5,4.52,47,17.869,1,0.498,2,0.0,1,0.0,0,CR1107,R1107,R1107TS232_2,Xiong,R1107_TS232_2,R1107_TS232_2,0.7210499934867441,Human,3
TS232,5,5.023,3,6.295,4,0.798,5,0.866,4,-1.0,1,0.781,6,6.33,54,17.869,1,0.473,5,0.0,1,0.0,0,CR1107,R1107,R1107TS232_5,Xiong,R1107_TS232_5,R1107_TS232_5,0.7206053929758783,Human,4
TS232,4,5.307,4,6.205,3,0.855,1,0.885,2,-1.0,1,0.855,1,8.59,59,18.339,5,0.488,3,0.0,1,0.0,0,CR1107,R1107,R1107TS232_4,Xiong,R1107_TS232_4,R1107_TS232_4,0.7099774584709141,Human,5
TS416,1,5.924,5,8.122,7,0.729,18,0.791,16,-1.0,1,0.717,38,20.81,78,26.048,104,0.462,7,0.0,1,0.0,0,CR1107,R1107,R1107TS416_1,Xiong,R1107_TS416_1,R1107_TS416_1,0.6022751086014624,Human,10
TS232,4,4.493,1,5.444,1,0.825,6,0.917,6,-1.0,1,0.796,12,9.95,62,13.602,2,0.537,2,0.0,1,0.0,0,CR1108,R1108,R1108TS232_4,Xiong,R1108_TS232_4,R1108_TS232_4,0.7476600464515532,Human,3
TS232,2,4.631,2,5.644,2,0.821,8,0.935,4,-1.0,1,0.782,19,4.52,39,13.783,5,0.522,4,0.0,1,0.0,0,CR1108,R1108,R1108TS232_2,Xiong,R1108_TS232_2,R1108_TS232_2,0.7545336600001158,Human,1
TS416,3,4.802,3,5.871,4,0.818,9,0.952,2,-1.0,1,0.765,28,5.88,48,22.174,86,0.514,8,0.0,1,0.0,0,CR1108,R1108,R1108TS416_3,Xiong,R1108_TS416_3,R1108_TS416_3,0.6801416714450371,Human,11
TS416,4,4.91,4,5.816,3,0.844,1,0.977,1,-1.0,1,0.801,9,3.16,29,21.834,79,0.535,3,0.0,1,0.0,0,CR1108,R1108,R1108TS416_4,Xiong,R1108_TS416_4,R1108_TS416_4,0.6891829276062391,Human,10
TS416,2,4.924,5,6.419,7,0.767,28,0.854,10,-1.0,1,0.736,40,13.57,71,23.726,107,0.516,7,0.0,1,0.0,1,CR1108,R1108,R1108TS416_2,Xiong,R1108_TS416_2,R1108_TS416_2,0.6527680500050028,Human,14
TS285,5,4.843,1,5.831,1,0.831,1,0.941,8,0.671,15,0.786,1,0.43,25,31.926,49,0.661,1,0.0,1,0.0,0,CR1116,R1116,R1116TS285_5,PerezLab_Gators,R1116_TS285_5,R1116_TS285_5,0.6671495210658817,Human,8
TS285,1,5.515,2,6.87,2,0.803,8,0.941,8,0.671,15,0.741,18,1.28,30,31.459,35,0.571,3,0.0,1,0.0,0,CR1116,R1116,R1116TS285_1,PerezLab_Gators,R1116_TS285_1,R1116_TS285_1,0.6739545076631788,Human,6
TS285,3,6.646,3,8.712,3,0.763,20,0.894,25,0.632,19,0.709,31,1.07,29,31.829,43,0.483,26,0.0,1,0.0,0,CR1116,R1116,R1116TS285_3,PerezLab_Gators,R1116_TS285_3,R1116_TS285_3,0.6374714421122007,Human,26
TS439,4,11.176,4,16.098,9,0.694,55,0.679,67,0.632,19,0.706,38,6.19,51,33.656,99,0.6,2,0.0,1,0.0,0,CR1116,R1116,R1116TS439_4,Yang,R1116_TS439_4,R1116_TS439_4,0.579787419857426,Human,42
TS285,2,11.887,5,15.582,5,0.763,20,0.905,23,0.447,25,0.709,31,0.64,28,32.664,71,0.383,52,0.0,1,0.0,0,CR1116,R1116,R1116TS285_2,PerezLab_Gators,R1116_TS285_2,R1116_TS285_2,0.6125262290080603,Human,33
TS287,4,2.007,1,2.655,1,0.756,12,0.845,33,0.5,2,0.779,10,0.0,1,28.499,88,0.371,11,0.0,1,1.181e-09,0,CR1117,R1117,R1117TS287_4,Chen,R1117_TS287_4,R1117_TS287_4,0.7051360676784814,Human,9
TS287,2,2.254,2,2.792,2,0.807,6,1.0,1,0.5,2,0.794,8,0.0,1,24.746,36,0.387,9,0.0,1,2.712e-09,0,CR1117,R1117,R1117TS287_2,Chen,R1117_TS287_2,R1117_TS287_2,0.7357570269154936,Human,2
TS287,3,2.266,3,3.058,7,0.741,15,0.926,21,0.5,2,0.723,20,0.0,1,26.501,63,0.426,2,0.0,1,2.827e-09,0,CR1117,R1117,R1117TS287_3,Chen,R1117_TS287_3,R1117_TS287_3,0.6889214315190976,Human,11
TS232,1,2.274,4,2.921,4,0.778,8,1.0,1,0.5,2,0.743,12,26.97,80,19.627,3,0.401,7,0.0,1,2.896e-09,0,CR1117,R1117,R1117TS232_1,Xiong,R1117_TS232_1,R1117_TS232_1,0.7472889632720436,Human,1
TS128,1,2.435,5,2.856,3,0.852,1,1.0,1,0.5,2,0.857,1,1.08,37,30.223,104,0.303,19,0.0,1,4.929e-09,0,CR1117,R1117,R1117TS128_1,Bujnicki,R1117_TS128_1,R1117_TS128_1,0.694008207620707,Human,10
TS232,4,8.761,1,10.446,1,0.839,5,0.973,1,0.316,15,0.785,8,10.82,54,23.0,8,0.618,1,0.0,1,0.0,0,CR1126,R1126,R1126TS232_4,Xiong,R1126_TS232_4,R1126_TS232_4,0.6894772819652757,Human,5
TS232,2,8.826,2,10.588,2,0.834,7,0.973,1,0.316,15,0.778,10,12.37,60,22.759,4,0.595,3,0.0,1,0.0,0,CR1126,R1126,R1126TS232_2,Xiong,R1126_TS232_2,R1126_TS232_2,0.6935082729033382,Human,1
TS232,1,8.928,3,10.621,3,0.841,4,0.973,1,0.316,15,0.788,7,10.65,53,22.83,6,0.603,2,0.0,1,0.0,0,CR1126,R1126,R1126TS232_1,Xiong,R1126_TS232_1,R1126_TS232_1,0.6910243951592243,Human,3
TS232,3,8.987,4,10.741,4,0.837,6,0.973,1,0.316,15,0.782,9,12.02,58,22.788,5,0.584,5,0.0,1,0.0,0,CR1126,R1126,R1126TS232_3,Xiong,R1126_TS232_3,R1126_TS232_3,0.6908053613332286,Human,4
TS232,5,9.023,5,10.819,5,0.834,7,0.973,1,0.316,15,0.778,10,11.51,56,22.908,7,0.593,4,0.0,1,0.0,0,CR1126,R1126,R1126TS232_5,Xiong,R1126_TS232_5,R1126_TS232_5,0.6914088785126535,Human,2
TS232,1,4.329,1,4.869,1,0.889,6,1.0,1,-1.0,1,0.832,5,7.24,59,11.039,7,0.787,1,0.0,1,0.0,0,CR1128,R1128,R1128TS232_1,Xiong,R1128_TS232_1,R1128_TS232_1,0.8674746658718705,Human,1
TS232,5,5.229,2,5.873,2,0.89,5,1.0,1,-1.0,1,0.832,5,6.84,57,11.009,6,0.713,3,0.0,1,0.0,0,CR1128,R1128,R1128TS232_5,Xiong,R1128_TS232_5,R1128_TS232_5,0.8627576551421221,Human,4
TS232,4,5.448,3,6.148,3,0.886,9,1.0,1,-1.0,1,0.826,9,5.79,55,10.928,4,0.724,2,0.0,1,0.0,0,CR1128,R1128,R1128TS232_4,Xiong,R1128_TS232_4,R1128_TS232_4,0.8629753090293029,Human,3
TS232,2,5.658,4,6.403,4,0.884,10,1.0,1,-1.0,1,0.822,11,8.03,63,10.653,3,0.703,4,0.0,1,0.0,0,CR1128,R1128,R1128TS232_2,Xiong,R1128_TS232_2,R1128_TS232_2,0.8625035295224949,Human,5
TS232,3,6.108,5,6.873,5,0.889,6,1.0,1,-1.0,1,0.831,8,7.1,58,10.95,5,0.698,5,0.0,1,0.0,0,CR1128,R1128,R1128TS232_3,Xiong,R1128_TS232_3,R1128_TS232_3,0.8674452531844137,Human,2
TS232,3,7.251,1,8.016,1,0.905,3,0.981,27,0.447,13,0.878,3,9.57,81,14.411,34,0.747,1,0.0,1,0.0,1,CR1136,R1136,R1136TS232_3,Xiong,R1136_TS232_3,R1136_TS232_3,0.7538789082955719,Human,20
TS232,5,8.084,2,8.816,2,0.917,2,0.99,2,0.804,1,0.885,1,7.24,59,13.235,7,0.719,2,0.0,1,0.0,0,CR1136,R1136,R1136TS232_5,Xiong,R1136_TS232_5,R1136_TS232_5,0.776426372135649,Human,1
TS232,1,8.15,3,9.012,3,0.904,4,0.984,6,0.447,13,0.877,4,7.41,60,13.799,9,0.71,3,0.0,1,0.0,1,CR1136,R1136,R1136TS232_1,Xiong,R1136_TS232_1,R1136_TS232_1,0.7600077998287262,Human,2
TS325,1,8.221,4,9.091,4,0.904,4,0.984,6,0.447,13,0.877,4,7.41,60,13.83,11,0.71,3,0.0,1,0.0,1,CR1136,R1136,R1136TS325_1,AIchemy_LIG,R1136_TS325_1,R1136_TS325_1,0.7596903748076566,Human,3
TS325,2,8.221,4,9.091,4,0.904,4,0.984,6,0.447,13,0.877,4,7.41,60,13.83,11,0.71,3,0.0,1,0.0,1,CR1136,R1136,R1136TS325_2,AIchemy_LIG,R1136_TS325_2,R1136_TS325_2,0.7596903748076566,Human,3
TS325,3,8.221,4,9.091,4,0.904,4,0.984,6,0.447,13,0.877,4,7.41,60,13.83,11,0.71,3,0.0,1,0.0,1,CR1136,R1136,R1136TS325_3,AIchemy_LIG,R1136_TS325_3,R1136_TS325_3,0.7596903748076566,Human,3
TS325,4,8.221,4,9.091,4,0.904,4,0.984,6,0.447,13,0.877,4,7.41,60,13.83,11,0.71,3,0.0,1,0.0,1,CR1136,R1136,R1136TS325_4,AIchemy_LIG,R1136_TS325_4,R1136_TS325_4,0.7596903748076566,Human,3
TS325,5,8.221,4,9.091,4,0.904,4,0.984,6,0.447,13,0.877,4,7.41,60,13.83,11,0.71,3,0.0,1,0.0,1,CR1136,R1136,R1136TS325_5,AIchemy_LIG,R1136_TS325_5,R1136_TS325_5,0.7596903748076566,Human,3
TS347,1,8.221,4,9.091,4,0.904,4,0.984,6,0.447,13,0.877,4,7.41,60,13.83,11,0.71,3,0.0,1,0.0,1,CR1136,R1136,R1136TS347_1,AIchemy_LIG,R1136_TS347_1,R1136_TS347_1,0.7596903748076566,Human,3
TS347,2,8.221,4,9.091,4,0.904,4,0.984,6,0.447,13,0.877,4,7.41,60,13.83,11,0.71,3,0.0,1,0.0,1,CR1136,R1136,R1136TS347_2,AIchemy_LIG,R1136_TS347_2,R1136_TS347_2,0.7596903748076566,Human,3
TS347,3,8.221,4,9.091,4,0.904,4,0.984,6,0.447,13,0.877,4,7.41,60,13.83,11,0.71,3,0.0,1,0.0,1,CR1136,R1136,R1136TS347_3,AIchemy_LIG,R1136_TS347_3,R1136_TS347_3,0.7596903748076566,Human,3
TS347,4,8.221,4,9.091,4,0.904,4,0.984,6,0.447,13,0.877,4,7.41,60,13.83,11,0.71,3,0.0,1,0.0,1,CR1136,R1136,R1136TS347_4,AIchemy_LIG,R1136_TS347_4,R1136_TS347_4,0.7596903748076566,Human,3
TS347,5,8.221,4,9.091,4,0.904,4,0.984,6,0.447,13,0.877,4,7.41,60,13.83,11,0.71,3,0.0,1,0.0,1,CR1136,R1136,R1136TS347_5,AIchemy_LIG,R1136_TS347_5,R1136_TS347_5,0.7596903748076566,Human,3
TS456,1,8.221,4,9.091,4,0.904,4,0.984,6,0.447,13,0.877,4,7.41,60,13.83,11,0.71,3,0.0,1,0.0,1,CR1136,R1136,R1136TS456_1,AIchemy_LIG,R1136_TS456_1,R1136_TS456_1,0.7596903748076566,Human,3
TS456,2,8.221,4,9.091,4,0.904,4,0.984,6,0.447,13,0.877,4,7.41,60,13.83,11,0.71,3,0.0,1,0.0,1,CR1136,R1136,R1136TS456_2,AIchemy_LIG,R1136_TS456_2,R1136_TS456_2,0.7596903748076566,Human,3
TS456,3,8.221,4,9.091,4,0.904,4,0.984,6,0.447,13,0.877,4,7.41,60,13.83,11,0.71,3,0.0,1,0.0,1,CR1136,R1136,R1136TS456_3,AIchemy_LIG,R1136_TS456_3,R1136_TS456_3,0.7596903748076566,Human,3
TS456,4,8.221,4,9.091,4,0.904,4,0.984,6,0.447,13,0.877,4,7.41,60,13.83,11,0.71,3,0.0,1,0.0,1,CR1136,R1136,R1136TS456_4,AIchemy_LIG,R1136_TS456_4,R1136_TS456_4,0.7596903748076566,Human,3
TS456,5,8.221,4,9.091,4,0.904,4,0.984,6,0.447,13,0.877,4,7.41,60,13.83,11,0.71,3,0.0,1,0.0,1,CR1136,R1136,R1136TS456_5,AIchemy_LIG,R1136_TS456_5,R1136_TS456_5,0.7596903748076566,Human,3
TS232,4,7.821,1,8.749,1,0.894,2,0.946,3,-1.0,62,0.874,2,10.01,62,15.932,5,0.8,1,0.0,1,0.0,1,CR1138,R1138,R1138TS232_4,Xiong,R1138_TS232_4,R1138_TS232_4,0.7394469503797413,Human,1
TS232,3,8.197,2,9.138,2,0.897,1,0.946,3,-1.0,62,0.879,1,10.1,63,15.962,6,0.789,2,0.0,1,0.0,1,CR1138,R1138,R1138TS232_3,Xiong,R1138_TS232_3,R1138_TS232_3,0.7389717029725396,Human,2
TS232,5,8.324,3,9.332,3,0.892,4,0.946,3,-1.0,62,0.871,5,9.79,61,16.099,7,0.786,3,0.0,1,0.0,1,CR1138,R1138,R1138TS232_5,Xiong,R1138_TS232_5,R1138_TS232_5,0.7388129066373443,Human,3
TS081,4,9.587,4,10.729,4,0.894,2,0.946,3,-1.0,62,0.874,2,6.07,54,16.34,9,0.736,4,0.0,1,0.0,1,CR1138,R1138,R1138TS081_4,Szachniuk,R1138_TS081_4,R1138_TS081_4,0.7181062526713402,Human,4
TS081,2,10.304,5,11.731,5,0.878,8,0.946,3,-1.0,62,0.851,10,8.67,58,21.52,53,0.717,5,0.0,1,0.0,1,CR1138,R1138,R1138TS081_2,Szachniuk,R1138_TS081_2,R1138_TS081_2,0.6960925827156526,Human,12
TS110,2,6.884,1,8.778,1,0.784,53,0.798,66,-1.0,3,0.782,45,30.78,80,13.638,49,0.536,1,0.0,1,0.0,9,CR1149,R1149,R1149TS110_2,DF_RNA,R1149_TS110_2,R1149_TS110_2,0.6720690198793822,Human,24
TS128,1,7.355,2,10.105,4,0.728,73,0.802,62,-1.0,3,0.697,74,90.08,84,30.53,135,0.504,3,0.0,1,0.0,5,CR1149,R1149,R1149TS128_1,Bujnicki,R1149_TS128_1,R1149_TS128_1,0.5763121891548231,Human,73
TS416,3,7.648,3,9.246,2,0.827,28,0.826,55,-1.0,3,0.831,12,4.79,45,12.857,39,0.408,8,0.0,1,0.0,8,CR1149,R1149,R1149TS416_3,Xiong,R1149_TS416_3,R1149_TS416_3,0.7054629361471725,Human,6
TS035,3,7.964,4,9.498,3,0.839,21,0.88,27,-1.0,3,0.829,13,10.34,61,8.333,4,0.47,4,0.0,1,0.0,5,CR1149,R1149,R1149TS035_3,Manifold,R1149_TS035_3,R1149_TS035_3,0.7394936342126865,Human,1
TS128,4,9.284,5,11.398,5,0.815,36,0.835,51,-1.0,3,0.81,28,0.25,20,14.519,62,0.444,6,0.0,1,0.0,6,CR1149,R1149,R1149TS128_4,Bujnicki,R1149_TS128_4,R1149_TS128_4,0.7035188522295919,Human,7
TS128,5,5.361,1,7.36,1,0.728,47,0.837,42,-1.0,15,0.692,69,1.39,41,26.787,137,0.664,1,0.0,1,0.0,3,CR1156,R1156,R1156TS128_5,Bujnicki,R1156_TS128_5,R1156_TS128_5,0.6429359287418835,Human,12
TS128,1,7.438,2,9.292,3,0.8,31,0.879,36,-1.0,15,0.768,32,0.0,1,14.522,35,0.447,2,0.0,1,0.0,22,CR1156,R1156,R1156TS128_1,Bujnicki,R1156_TS128_1,R1156_TS128_1,0.6700766376530152,Human,2
TS232,3,7.59,3,8.728,2,0.87,1,0.98,1,1.0,1,0.818,3,10.62,57,9.618,3,0.431,4,0.0,1,0.0,13,CR1156,R1156,R1156TS232_3,Xiong,R1156_TS232_3,R1156_TS232_3,0.6933352121632559,Human,1
TS287,1,11.026,4,13.01,4,0.848,3,0.939,11,-1.0,15,0.808,4,0.23,22,14.028,32,0.435,3,0.0,1,0.0,31,CR1156,R1156,R1156TS287_1,Chen,R1156_TS287_1,R1156_TS287_1,0.6581208465713964,Human,5
TS076,4,12.22,5,14.788,5,0.826,16,0.896,28,0.5,6,0.804,5,4.62,45,14.351,33,0.388,6,0.0,1,0.0,28,CR1156,R1156,R1156TS076_4,Rookie,R1156_TS076_4,R1156_TS076_4,0.6297177391276401,Human,20
TS439,3,16.295,1,25.703,1,0.634,20,0.77,18,-1.0,1,0.591,30,1.31,39,36.225,78,0.211,62,0.0,1,0.0,0,CR1189,R1189,R1189TS439_3,Yang,R1189_TS439_3,R1189_TS439_3,0.5354209067473009,Human,13
TS081,2,18.704,2,29.69,2,0.63,21,0.81,4,-1.0,1,0.555,51,7.57,67,35.757,71,0.262,8,0.0,1,7.105e-15,0,CR1189,R1189,R1189TS081_2,Szachniuk,R1189_TS081_2,R1189_TS081_2,0.5335455796553662,Human,14
TS147,4,18.925,3,38.83,28,0.487,72,0.546,68,-1.0,1,0.465,73,0.52,27,38.98,115,0.207,66,0.0,1,1.849e-14,0,CR1189,R1189,R1189TS147_4,SHT,R1189_TS147_4,R1189_TS147_4,0.4406960516369134,Human,66
TS147,3,19.319,4,35.392,19,0.546,63,0.648,48,-1.0,1,0.507,68,1.04,37,39.91,119,0.224,54,0.0,1,9.731e-14,0,CR1189,R1189,R1189TS147_3,SHT,R1189_TS147_3,R1189_TS147_3,0.455060960245004,Human,62
TS081,1,20.317,5,31.963,8,0.636,18,0.81,4,-1.0,1,0.561,42,8.88,69,37.691,100,0.275,4,0.0,1,5.308e-12,0,CR1189,R1189,R1189TS081_1,Szachniuk,R1189_TS081_1,R1189_TS081_1,0.5424812467290806,Human,2
TS439,3,15.959,1,21.545,1,0.741,2,0.867,12,-1.0,1,0.7,1,1.83,39,31.588,47,0.241,50,0.0,1,0.0,0,CR1190,R1190,R1190TS439_3,Yang,R1190_TS439_3,R1190_TS439_3,0.5847417583704965,Human,6
TS439,2,16.18,2,23.013,2,0.703,15,0.8,29,-1.0,1,0.674,9,3.4,54,30.59,23,0.22,67,0.0,1,0.0,0,CR1190,R1190,R1190TS439_2,Yang,R1190_TS439_2,R1190_TS439_2,0.5670674560094972,Human,27
TS287,1,18.811,3,26.588,3,0.708,13,0.889,1,-1.0,1,0.625,33,0.52,27,32.739,75,0.274,2,0.0,1,1.132e-14,0,CR1190,R1190,R1190TS287_1,Chen,R1190_TS287_1,R1190_TS287_1,0.5926924608908223,Human,2
TS287,5,19.498,4,26.918,5,0.724,10,0.889,1,-1.0,1,0.648,21,0.52,27,32.272,64,0.244,46,0.0,1,2.039e-13,0,CR1190,R1190,R1190TS287_5,Chen,R1190_TS287_5,R1190_TS287_5,0.5681169409320598,Human,24
TS287,3,19.594,5,26.657,4,0.735,4,0.889,1,-1.0,1,0.667,12,0.0,1,33.136,79,0.246,44,0.0,1,3.02e-13,0,CR1190,R1190,R1190TS287_3,Chen,R1190_TS287_3,R1190_TS287_3,0.585551082092175,Human,5
