Groups,model,RMSD,RMSD_rank,DI,DI_rank,INF_all,INF_all_rank,INF_wc,INF_wc_rank,INF_nwc,INF_nwc_rank,INF_stack,INF_stack_rank,clash,clash_rank,MCQ,MCQ_rank,TM,TM_rank,GDT,GDT_rank,p-value,solution,PZ,complete_name,complete_model,Lddt_score,Lddt_rank,Groups_new
Chen,5,4.989,1,5.852,1,0.853,3,0.953,17,-1.0,16,0.821,1,0.55,6,24.294,22,0.339,14,0.0,1,0.0,0,PZ11,PZ11_Chen_5,PZ11_Chen_5,0.5593570870244919,16,Chen
Chen,2,5.193,2,6.226,2,0.834,4,0.977,9,-1.0,16,0.768,11,2.74,16,25.423,34,0.314,32,0.0,1,0.0,1,PZ11,PZ11_Chen_2,PZ11_Chen_2,0.5747619193905137,14,Chen
Chen,4,5.255,3,6.333,3,0.83,6,0.977,9,-1.0,16,0.772,10,0.55,6,28.152,49,0.343,11,0.0,1,0.0,0,PZ11,PZ11_Chen_4,PZ11_Chen_4,0.5583933393339334,17,Chen
Bujnicki,3,5.582,4,6.875,4,0.812,13,0.978,4,0.707,2,0.734,27,0.0,1,25.333,32,0.326,21,0.0,1,0.0,1,PZ11,PZ11_Bujnicki_3,PZ11_Bujnicki_3,0.5850147456377488,11,Bujnicki
Adamiak,7,5.724,5,7.026,5,0.815,11,1.0,1,-1.0,16,0.72,33,7.14,21,25.974,39,0.314,32,0.0,1,0.0,1,PZ11,PZ11_Adamiak_7,PZ11_Adamiak_7,0.6152033669206193,2,Szachniuk
Szachniuk,3,2.217,5,2.687,4,0.825,4,0.913,2,0.408,4,0.85,3,9.14,20,16.59,30,0.283,9,0.0,1,2.579e-08,0,PZ16a,PZ16a_Szachniuk_3,PZ16a_Szachniuk_3,0.7516673441428421,10,Szachniuk
Szachniuk,5,2.209,4,3.251,9,0.679,20,0.913,2,-1.0,15,0.66,20,13.71,26,15.005,15,0.305,5,0.0,1,2.516e-08,0,PZ16a,PZ16a_Szachniuk_5,PZ16a_Szachniuk_5,0.7581297141050539,7,Szachniuk
Szachniuk,10,2.041,3,2.65,3,0.77,7,0.913,2,0.408,4,0.776,6,11.43,24,19.081,56,0.326,3,0.0,1,1.482e-08,0,PZ16a,PZ16a_Szachniuk_10,PZ16a_Szachniuk_10,0.7783824879936166,6,Szachniuk
Szachniuk,8,1.881,2,2.442,2,0.77,7,0.913,2,0.408,4,0.776,6,17.14,28,17.429,41,0.303,6,0.0,1,8.874e-09,0,PZ16a,PZ16a_Szachniuk_8,PZ16a_Szachniuk_8,0.7574861117384039,8,Szachniuk
Chen,1,1.45,1,1.495,1,0.97,1,1.0,1,0.816,1,0.98,1,0.0,1,16.667,32,0.439,1,0.0,1,2.156e-09,0,PZ16a,PZ16a_Chen_1,PZ16a_Chen_1,0.8041566927118619,1,Chen
Szachniuk,7,1.614,5,1.715,3,0.941,1,1.0,1,1.0,1,0.913,2,9.08,24,13.572,16,0.337,9,0.0,1,3.72e-09,0,PZ16b,PZ16b_Szachniuk_7,PZ16b_Szachniuk_7,0.8020556343437925,9,Szachniuk
Szachniuk,3,1.607,4,1.837,5,0.875,9,0.913,5,0.775,6,0.886,7,7.95,21,12.187,6,0.499,2,0.0,1,3.634e-09,0,PZ16b,PZ16b_Szachniuk_3,PZ16b_Szachniuk_3,0.856567245760208,2,Szachniuk
Szachniuk,4,1.543,3,1.76,4,0.877,8,0.913,5,0.775,6,0.889,5,11.35,27,16.128,38,0.461,4,0.0,1,2.939e-09,0,PZ16b,PZ16b_Szachniuk_4,PZ16b_Szachniuk_4,0.8266154050700231,5,Szachniuk
Chen,1,1.324,2,1.43,2,0.925,2,1.0,1,0.775,6,0.936,1,0.0,1,14.102,23,0.477,3,0.0,1,1.406e-09,0,PZ16b,PZ16b_Chen_1,PZ16b_Chen_1,0.8461708916858713,3,Chen
Szachniuk,1,1.25,1,1.375,1,0.91,3,1.0,1,0.775,6,0.913,2,7.95,21,11.564,2,0.511,1,0.0,1,1.096e-09,0,PZ16b,PZ16b_Szachniuk_1,PZ16b_Szachniuk_1,0.885086125391479,1,Szachniuk
Szachniuk,3,12.318,5,16.561,4,0.744,1,0.851,8,-1.0,1,0.699,2,9.73,20,29.523,25,0.037,19,0.0,1,1.11e-16,0,PZ30,PZ30_Szachniuk_3,PZ30_Szachniuk_3,0.6444747222948772,1,Szachniuk
Ding,4,12.286,4,18.548,6,0.662,24,0.798,25,-1.0,1,0.603,19,7.2,14,25.056,8,0.041,8,0.0,1,1.11e-16,0,PZ30,PZ30_Ding_4,PZ30_Ding_4,0.575139186181201,14,Ding
Chen,4,9.606,3,13.294,3,0.723,4,0.873,5,-1.0,1,0.656,6,1.08,9,29.404,24,0.041,8,0.0,1,0.0,0,PZ30,PZ30_Chen_4,PZ30_Chen_4,0.5577055498321225,21,Chen
Chen,1,5.021,1,7.483,1,0.671,21,0.84,10,-1.0,1,0.597,20,0.36,6,34.781,32,0.043,6,0.0,1,0.0,0,PZ30,PZ30_Chen_1,PZ30_Chen_1,0.5784887289886249,11,Chen
Chen,9,7.381,2,11.206,2,0.659,26,0.798,25,-1.0,1,0.597,20,0.0,1,27.645,18,0.036,23,0.0,1,0.0,0,PZ30,PZ30_Chen_9,PZ30_Chen_9,0.5731614879976941,17,Chen
Xiao,1,10.762,5,21.92,15,0.491,21,0.75,19,-1.0,23,0.5,19,0.0,1,38.951,23,0.233,19,0.0,1,0.004769,0,PZ23,PZ23_Xiao_1,PZ23_Xiao_1,0.3912480162110303,14,Xiao
Chen,3,10.587,3,19.446,6,0.544,17,0.75,19,0.283,20,0.561,11,133.39,28,47.105,29,0.163,28,0.0,1,0.003575,0,PZ23,PZ23_Chen_3,PZ23_Chen_3,0.3905889947905925,15,Chen
Das,6,9.686,2,13.88,2,0.698,1,0.866,2,0.572,4,0.707,1,10.85,18,31.496,7,0.296,6,0.0,1,0.0007115,0,PZ23,PZ23_Das_6,PZ23_Das_6,0.4655896672614297,3,Das
Das,7,8.129,1,13.16,1,0.618,5,0.866,2,0.447,7,0.612,3,3.34,10,33.157,16,0.357,1,0.0,1,2.506e-05,0,PZ23,PZ23_Das_7,PZ23_Das_7,0.4849388948165948,1,Das
Das,8,10.681,4,19.27,5,0.554,14,0.866,2,0.422,16,0.52,16,11.69,20,32.755,14,0.279,8,0.0,1,0.004175,0,PZ23,PZ23_Das_8,PZ23_Das_8,0.4684566345972796,2,Das
Xiao,3,6.934,5,9.51,8,0.729,30,0.763,41,-1.0,1,0.715,23,0.0,1,38.358,105,0.31,4,0.0,1,1.717e-11,0,PZ32,PZ32_Xiao_3,PZ32_Xiao_3,0.5161357046757751,24,Xiao
Perez,10,6.825,4,10.752,15,0.635,44,0.65,43,-1.0,1,0.649,47,2.6,42,24.553,49,0.264,36,0.0,1,1.137e-11,0,PZ32,PZ32_Perez_10,PZ32_Perez_10,0.488215233860698,38,Perez
Szachniuk,3,6.476,3,8.132,4,0.796,7,0.904,10,-1.0,1,0.761,6,8.88,69,25.738,62,0.286,16,0.0,1,2.978e-12,0,PZ32,PZ32_Szachniuk_3,PZ32_Szachniuk_3,0.5547041937363753,11,Szachniuk
Szachniuk,5,5.159,2,6.28,1,0.821,3,0.875,18,-1.0,1,0.797,3,10.15,73,24.435,47,0.357,1,0.0,1,1.343e-14,0,PZ32,PZ32_Szachniuk_5,PZ32_Szachniuk_5,0.5720252099026569,3,Szachniuk
Chen,4,4.989,1,6.611,2,0.755,20,0.91,2,-1.0,1,0.685,31,0.0,1,22.336,18,0.283,18,0.0,1,6.439e-15,0,PZ32,PZ32_Chen_4,PZ32_Chen_4,0.5637640025037232,5,Chen
DasORIGINAL,3,3.208,1,3.736,1,0.859,8,0.939,5,0.671,1,0.84,7,8.7,15,16.107,4,0.582,1,0.0,1,0.0,0,PZ18,PZ18_DasORIGINAL_3,PZ18_DasORIGINAL_3,0.7796875366259581,2,Das
Chen,1,3.74,2,4.837,4,0.773,12,0.917,9,-1.0,21,0.738,14,0.43,1,24.85,56,0.519,2,0.0,1,0.0,0,PZ18,PZ18_Chen_1,PZ18_Chen_1,0.6361641780548979,11,Chen
Das,2,3.877,3,4.424,2,0.876,1,0.981,1,0.5,6,0.857,1,16.09,32,16.152,5,0.49,4,0.0,1,0.0,0,PZ18,PZ18_Das_2,PZ18_Das_2,0.7778415883359509,4,Das
DasORIGINAL,2,4.034,4,4.662,3,0.865,2,0.939,5,0.671,1,0.85,4,9.13,18,16.027,3,0.503,3,0.0,1,0.0,0,PZ18,PZ18_DasORIGINAL_2,PZ18_DasORIGINAL_2,0.7779165982982115,3,Das
Das,1,5.496,5,6.388,5,0.86,7,0.981,1,0.671,1,0.824,8,13.05,27,16.585,9,0.47,7,0.0,1,0.0,0,PZ18,PZ18_Das_1,PZ18_Das_1,0.7873889500949345,1,Das
DasTFN,10,4.829,1,5.471,1,0.883,4,0.911,27,-1.0,1,0.871,1,0.56,5,16.205,13,0.561,1,0.0,1,0.0,0,PZ24,PZ24_DasTFN_10,PZ24_DasTFN_10,0.7003577718193212,13,Das
DasTFN,6,6.57,2,8.165,2,0.805,42,0.891,44,-1.0,1,0.76,39,4.2,33,18.976,44,0.486,4,0.0,1,0.0,0,PZ24,PZ24_DasTFN_6,PZ24_DasTFN_6,0.6421147408335846,35,Das
FARFAR2,9,7.68,3,8.863,3,0.867,16,0.911,27,-1.0,1,0.846,6,1.12,11,17.01,22,0.465,5,0.0,1,0.0,0,PZ24,PZ24_FARFAR2_9,PZ24_FARFAR2_9,0.6750456139237494,26,Das
DasTFN,9,8.915,4,10.373,4,0.859,18,0.913,24,-1.0,1,0.834,13,2.24,27,16.724,18,0.506,2,0.0,1,0.0,0,PZ24,PZ24_DasTFN_9,PZ24_DasTFN_9,0.6993280870710308,14,Das
FARFAR2,6,8.915,4,10.373,4,0.859,18,0.913,24,-1.0,1,0.834,13,2.24,27,16.724,18,0.506,2,0.0,1,0.0,0,PZ24,PZ24_FARFAR2_6,PZ24_FARFAR2_6,0.6993280870710308,14,Das
Bujnicki,2,5.449,5,6.415,5,0.849,7,0.93,20,-1.0,14,0.823,6,5.36,35,16.508,30,0.359,8,0.0,1,0.0,0,PZ31,PZ31_Bujnicki_2,PZ31_Bujnicki_2,0.7665380771126568,1,Bujnicki
Chen,5,5.415,4,6.794,10,0.797,23,0.934,15,-1.0,14,0.736,30,0.0,1,14.211,8,0.356,9,0.0,1,0.0,0,PZ31,PZ31_Chen_5,PZ31_Chen_5,0.6691049619365792,20,Chen
Chen,7,5.166,3,5.968,2,0.866,4,0.957,3,-1.0,14,0.828,4,0.0,1,14.953,13,0.38,3,0.0,1,0.0,0,PZ31,PZ31_Chen_7,PZ31_Chen_7,0.6875667479051427,15,Chen
Dokholyan,1,4.956,2,5.737,1,0.864,5,0.934,15,0.0,1,0.849,2,1.09,27,16.457,28,0.326,25,0.0,1,0.0,0,PZ31,PZ31_Dokholyan_1,PZ31_Dokholyan_1,0.7123969686182157,5,Dokholyan
Dokholyan,2,4.798,1,6.155,3,0.779,27,0.906,29,0.0,1,0.748,28,1.63,30,19.248,54,0.425,1,0.0,1,0.0,0,PZ31,PZ31_Dokholyan_2,PZ31_Dokholyan_2,0.7079094556109315,9,Dokholyan
Chen,1,3.959,2,4.351,2,0.91,8,0.973,21,-1.0,1,0.878,9,0.35,23,17.342,12,0.553,2,0.0,1,0.0,0,PZ39,PZ39_Chen_1,PZ39_Chen_1,0.7281033491360765,7,Chen
GeneSilico4,1,3.383,1,3.678,1,0.92,2,0.973,21,-1.0,1,0.894,2,0.35,23,26.708,97,0.636,1,0.0,1,0.0,0,PZ39,PZ39_GeneSilico4_1,PZ39_GeneSilico4_1,0.7678494597713629,5,Bujnicki
DasSWM,5,5.594,5,6.087,4,0.919,3,0.987,1,-1.0,1,0.884,4,2.11,41,13.69,1,0.499,4,0.0,1,0.0,0,PZ39,PZ39_DasSWM_5,PZ39_DasSWM_5,0.7791053958526847,2,Das
GeneSilico3,1,5.447,4,6.106,5,0.892,23,0.973,21,-1.0,1,0.851,18,0.35,23,20.688,46,0.434,18,0.0,1,0.0,0,PZ39,PZ39_GeneSilico3_1,PZ39_GeneSilico3_1,0.6888457965909502,22,Bujnicki
Chen,2,5.267,3,5.762,3,0.914,5,0.973,21,-1.0,1,0.884,4,0.35,23,16.604,9,0.483,5,0.0,1,0.0,0,PZ39,PZ39_Chen_2,PZ39_Chen_2,0.700196227446912,18,Chen
Das,5,10.663,1,15.041,1,0.709,8,0.962,1,0.0,10,0.657,22,1.15,2,16.651,4,0.285,7,0.0,1,0.0,1,PZ22,PZ22_Das_5,PZ22_Das_5,0.4884791689771173,1,Das
Das,1,11.48,2,17.038,3,0.674,18,0.863,14,0.0,10,0.652,25,3.46,17,17.322,8,0.217,29,0.0,1,2.22e-16,0,PZ22,PZ22_Das_1,PZ22_Das_1,0.4426699876013562,13,Das
Das,2,11.732,3,16.886,2,0.695,13,0.885,12,0.0,10,0.672,17,3.46,17,17.509,9,0.233,21,0.0,1,7.772e-16,1,PZ22,PZ22_Das_2,PZ22_Das_2,0.4662212117851466,5,Das
Xiao,1,13.678,4,20.725,5,0.66,24,0.809,20,0.0,10,0.653,24,10.4,30,35.871,45,0.294,4,0.0,1,2.741e-12,1,PZ22,PZ22_Xiao_1,PZ22_Xiao_1,0.4056429929956691,26,Xiao
Das,8,13.96,5,19.798,4,0.705,10,0.941,5,0.0,10,0.677,15,4.23,21,17.289,7,0.241,18,0.0,1,8.151e-12,1,PZ22,PZ22_Das_8,PZ22_Das_8,0.4785202025803112,3,Das
Adamiak,5,20.249,1,30.463,2,0.665,21,0.762,20,0.0,20,0.67,12,10.78,30,23.628,21,0.236,20,0.0,1,0.0,0,PZ22Dimer,PZ22Dimer_Adamiak_5,PZ22Dimer_Adamiak_5,0.1806540035984688,26,Szachniuk
Das,6,20.472,2,29.766,1,0.688,13,0.931,6,0.088,18,0.649,21,4.24,19,18.933,6,0.242,18,0.0,1,0.0,0,PZ22Dimer,PZ22Dimer_Das_6,PZ22Dimer_Das_6,0.1907115169978488,7,Das
Das,5,21.248,3,30.729,3,0.691,11,0.952,1,0.0,20,0.637,25,1.16,4,19.419,10,0.287,6,0.0,1,0.0,0,PZ22Dimer,PZ22Dimer_Das_5,PZ22Dimer_Das_5,0.1984531414149952,3,Das
Das,2,21.616,4,31.666,4,0.683,16,0.874,13,0.125,16,0.652,20,3.85,18,18.58,5,0.233,23,0.0,1,0.0,0,PZ22Dimer,PZ22Dimer_Das_2,PZ22Dimer_Das_2,0.1888195607659943,12,Das
Das,3,21.958,5,31.859,5,0.689,12,0.874,13,0.0,20,0.669,13,3.47,16,19.19,8,0.234,22,0.0,1,0.0,0,PZ22Dimer,PZ22Dimer_Das_3,PZ22Dimer_Das_3,0.1886569741465711,13,Das
ARESgua,9,9.069,5,12.939,3,0.701,65,0.878,64,0.0,1,0.657,60,7.77,83,18.999,40,0.297,36,0.0,1,8.327e-16,0,PZ34,PZ34_ARESgua_9,PZ34_ARESgua_9,0.5391859541255343,55,Das
SWMapo,4,8.961,3,12.94,4,0.692,70,0.923,24,0.0,1,0.65,63,5.03,59,24.467,88,0.285,47,0.0,1,4.996e-16,0,PZ34,PZ34_SWMapo_4,PZ34_SWMapo_4,0.5568497525562266,36,Das
Das,2,8.961,3,12.94,4,0.692,70,0.923,24,0.0,1,0.65,63,5.03,59,24.467,88,0.285,47,0.0,1,4.996e-16,0,PZ34,PZ34_Das_2,PZ34_Das_2,0.5568497525562266,36,Das
SWMapo,2,8.707,1,12.048,1,0.723,42,0.95,1,0.0,1,0.667,51,5.48,64,21.542,69,0.279,54,0.0,1,1.665e-16,0,PZ34,PZ34_SWMapo_2,PZ34_SWMapo_2,0.5638407531845728,24,Das
Das,4,8.707,1,12.048,1,0.723,42,0.95,1,0.0,1,0.667,51,5.48,64,21.542,69,0.279,54,0.0,1,1.665e-16,0,PZ34,PZ34_Das_4,PZ34_Das_4,0.5638407531845728,24,Das
Bujnicki,3,5.982,1,7.899,1,0.757,10,0.854,2,-1.0,1,0.729,19,27.55,30,22.576,5,0.397,7,0.0,1,0.0,0,PZ35,PZ35_Bujnicki_3,PZ35_Bujnicki_3,0.6873212394442777,1,Bujnicki
Chen,7,6.556,3,8.357,4,0.784,5,0.836,6,-1.0,1,0.766,3,0.0,1,22.628,7,0.404,6,0.0,1,0.0,0,PZ35,PZ35_Chen_7,PZ35_Chen_7,0.6763931287982193,5,Chen
Chen,5,6.498,2,8.284,2,0.784,5,0.836,6,-1.0,1,0.766,3,0.0,1,22.485,3,0.41,5,0.0,1,0.0,0,PZ35,PZ35_Chen_5,PZ35_Chen_5,0.6747888855535984,6,Chen
Chen,9,6.601,4,8.45,6,0.781,7,0.854,2,-1.0,1,0.755,10,0.0,1,22.609,6,0.419,1,0.0,1,0.0,0,PZ35,PZ35_Chen_9,PZ35_Chen_9,0.6771718876548314,4,Chen
Chen,2,6.646,5,8.417,5,0.79,3,0.854,2,-1.0,1,0.766,3,0.0,1,23.472,11,0.416,2,0.0,1,0.0,0,PZ35,PZ35_Chen_2,PZ35_Chen_2,0.6722444679802677,7,Chen
Szachniuk,4,21.181,1,33.861,3,0.626,19,0.616,11,-1.0,1,0.645,18,0.68,13,30.163,33,0.324,16,0.0,1,7.216e-16,0,PZ36,PZ36_Szachniuk_4,PZ36_Szachniuk_4,0.2328470904490828,19,Szachniuk
Bujnicki,5,21.654,2,36.06,8,0.6,20,0.604,17,-1.0,1,0.605,21,104.45,26,27.084,31,0.28,19,0.0,1,5.718e-15,0,PZ36,PZ36_Bujnicki_5,PZ36_Bujnicki_5,0.2365973539953615,18,Bujnicki
Ding,1,21.817,3,36.844,9,0.592,21,0.506,28,-1.0,1,0.633,20,9.04,19,24.148,22,0.291,18,0.0,1,1.16e-14,0,PZ36,PZ36_Ding_1,PZ36_Ding_1,0.2132932742989669,25,Ding
